fich.txt
my_prompt
my_prompt.c
my_prompt.c~
parser.c
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
andre     1513  0.0  0.4 680620 37584 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1515  0.0  0.3 920484 31488 ?        Ssl  14:05   0:00 /usr/lib/unity-
andre     1521  0.0  0.0 338016  5836 ?        Ssl  14:05   0:00 /usr/lib/at-spi
andre     1522  0.0  0.2 624824 16616 ?        Ssl  14:05   0:00 /usr/lib/gnome-
andre     1526  0.1  0.4 631012 33700 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1536  0.0  0.0  42900  3932 ?        S    14:05   0:00 /usr/bin/dbus-d
andre     1545  0.0  0.0 206868  4932 ?        Sl   14:05   0:00 /usr/lib/at-spi
andre     1549  0.0  0.1 428164  8984 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1550  0.0  0.0 333408  6612 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1558  0.0  0.1 570948 12752 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1560  0.0  0.2 1233784 17068 ?       Ssl  14:05   0:00 /usr/lib/x86_64
andre     1561  0.0  0.3 650052 25708 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1562  0.0  0.1 737024 10372 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1563  0.0  0.2 540340 23884 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1564  0.0  0.0 952896  6564 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1572  0.0  0.1 395940 12412 ?        Ssl  14:05   0:00 /usr/lib/x86_64
andre     1605  0.0  0.1 508892 11860 ?        S<l  14:05   0:00 /usr/bin/pulsea
andre     1625  0.0  0.3 629512 24624 ?        Sl   14:05   0:00 /usr/lib/evolut
andre     1629  0.0  0.0  22372  1148 ?        S    14:05   0:00 syndaemon -i 1.
andre     1645  0.0  0.0 178764  4880 ?        Sl   14:05   0:00 /usr/lib/dconf/
andre     1677  0.0  0.2 569628 20556 ?        Sl   14:05   0:00 /usr/lib/unity-
andre     1678  0.0  0.2 422116 19296 ?        Sl   14:05   0:00 /usr/lib/policy
andre     1679  0.0  0.4 582484 33944 ?        Sl   14:05   0:00 nm-applet
andre     1682  0.1  0.5 855876 46640 ?        Sl   14:05   0:00 nautilus -n
andre     1685  0.7  1.6 1312820 134068 ?      Sl   14:05   0:03 /usr/bin/gnome-
andre     1696  0.0  0.0 285452  7900 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
root      1708  0.0  0.1 367924  8992 ?        Ssl  14:05   0:00 /usr/lib/udisks
nobody    1710  0.0  0.0  52872  4048 ?        S    14:05   0:00 /usr/sbin/dnsma
andre     1752  0.0  0.1 403612  9084 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1758  0.0  0.0 257544  4244 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1763  0.0  0.0 259532  4508 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1768  0.0  0.0 271728  5188 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1769  2.0  1.2 1206328 102968 ?      Ssl  14:05   0:09 compiz
andre     1786  0.0  0.7 855896 59564 ?        Sl   14:05   0:00 /usr/lib/evolut
root      1791  0.1  0.4 629120 35792 ?        Sl   14:05   0:00 /usr/lib/x86_64
andre     1843  0.0  0.3 479832 31984 ?        Sl   14:05   0:00 /usr/lib/x86_64
andre     1914  0.0  0.0 350576  6556 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1922  0.0  0.0 186120  5656 ?        Sl   14:05   0:00 /usr/lib/gvfs/g
andre     1939  0.0  0.6 816048 49956 ?        Sl   14:05   0:00 /usr/lib/evolut
andre     1949  0.0  0.2 690632 20324 ?        Sl   14:05   0:00 /usr/lib/evolut
andre     1951  0.0  0.6 1062572 51600 ?       Sl   14:05   0:00 /usr/lib/evolut
andre     1971  0.0  0.2 766132 18056 ?        Sl   14:05   0:00 /usr/lib/evolut
root      2023  0.2  1.2 286324 100976 ?       SNl  14:05   0:01 /usr/bin/python
andre     2036  5.0  3.7 2216668 301880 ?      Sl   14:05   0:23 /usr/lib/firefo
andre     2070  0.0  0.0   4508   760 ?        S    14:05   0:00 /bin/sh -c /usr
andre     2075  0.0  0.0 410196  6944 ?        Sl   14:05   0:00 /usr/bin/zeitge
andre     2085  0.0  0.2 317148 17312 ?        Sl   14:05   0:00 /usr/lib/x86_64
andre     2087  0.0  0.2 437504 18240 ?        Sl   14:05   0:00 zeitgeist-datah
andre     2097  0.3  0.4 653372 35144 ?        Sl   14:05   0:01 /usr/lib/gnome-
andre     2114  0.0  0.0  22784  5452 pts/8    Ss   14:05   0:00 bash
andre     2341  0.0  0.0  61308  5384 ?        S    14:05   0:00 /usr/lib/x86_64
andre     2556  5.5  4.1 2042780 337900 ?      Sl   14:05   0:24 /usr/lib/firefo
andre     2645  0.0  0.3 516812 27680 ?        Sl   14:06   0:00 update-notifier
andre     2706  0.0  0.0 426688  6852 ?        Sl   14:06   0:00 /usr/lib/gvfs/g
andre     2740  0.0  0.0 361720  7084 ?        Sl   14:06   0:00 /usr/lib/gvfs/g
andre     2755  0.0  0.0 435468  7040 ?        Sl   14:07   0:00 /usr/lib/x86_64
root      2853  0.0  0.0      0     0 ?        S    14:09   0:00 [kworker/2:2]
root      2887  0.0  0.1  93924  8188 ?        Ss   14:09   0:00 /usr/sbin/cupsd
root      2889  0.0  0.1 274964  9440 ?        Ssl  14:09   0:00 /usr/sbin/cups-
lp        2892  0.0  0.0  81244  5764 ?        S    14:09   0:00 /usr/lib/cups/n
andre     2967  0.2  0.6 575932 53588 pts/8    Sl   14:10   0:00 emacs my_prompt
andre     2997  0.0  0.0  11968  2544 pts/8    S+   14:10   0:00 ./my_prompt
root      2999  0.0  0.0      0     0 ?        S    14:10   0:00 [kworker/3:1]
andre     3015  0.0  0.0  22672  5196 pts/0    Ss   14:12   0:00 bash
andre     3025  0.0  0.0  18444  3084 pts/0    S+   14:12   0:00 man wc
andre     3036  0.0  0.0   9660   864 pts/0    S+   14:12   0:00 pager
andre     3042  0.0  0.0  37368  3332 pts/8    R+   14:13   0:00 ps -aux
